Year Published;Min Players;Max Players;Play Time;Min Age;Owned Users;Mechanics;Domains
2011;2;2;180;14;7464;Action Points, Card Play Conflict Resolution, Force Commitment, Hand Management, Point to Point Movement, Secret Unit Deployment, Turn Order: Auction;Wargames
2018;3;7;20;8;19170;Communication Limits, Cooperative Game;Party Games
2017;2;4;60;10;19173;Card Drafting, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Race;Family Games
2015;2;2;20;12;14005;Card Drafting, Deck Bag and Pool Building, Hand Management, Take That;Strategy Games
2014;2;4;30;10;82849;Card Drafting, Contracts, Drafting, Race, Set Collection;Family Games
2016;2;4;20;8;45672;Race, Square Grid, Team-Based Game, Three Dimensional Movement, Variable Player Powers;Abstract Games, Family Games
2014;1;4;120;12;11163;Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Drafting, Hand Management, Income, Simultaneous Action Selection, Variable Player Powers;Strategy Games
2019;1;5;60;14;9371;Card Drafting, Drafting, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers;Strategy Games
2018;2;4;90;14;11634;Card Drafting, Dice Rolling, End Game Bonuses, Set Collection, Variable Set-up, Worker Placement with Dice Workers;Strategy Games
2019;2;2;60;12;8892;Action/Event, Connections, Hand Management, Tug of War;Strategy Games
1991;4;4;60;10;20236;Hand Management, Ladder Climbing, Predictive Bid, Team-Based Game;Strategy Games
-2200;2;2;180;8;20398;Enclosure, Square Grid;Abstract Games
2004;2;5;60;8;97463;Card Drafting, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection;Family Games
2020;1;4;120;14;5682;Card Play Conflict Resolution, Deck Bag and Pool Building, Variable Player Powers, Worker Placement;Strategy Games, Thematic Games
2012;1;5;60;14;30186;Deck Bag and Pool Building, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Set-up;Thematic Games
1999;2;5;60;12;18460;Auction/Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Push Your Luck, Set Collection;Strategy Games
2000;2;5;45;7;149337;Area Majority / Influence, Map Addition, Tile Placement;Family Games
2015;1;6;180;14;21612;Cooperative Game, Dice Rolling, Modular Board, Scenario / Mission / Campaign Game, Turn Order: Progressive, Variable Player Powers;Thematic Games
2014;2;4;120;12;7923;Action Points, Commodity Speculation, Variable Phase Order, Worker Placement;Strategy Games
2014;2;4;60;13;14420;Dice Rolling, Grid Movement, Modular Board, Scenario / Mission / Campaign Game, Take That, Variable Player Powers;Thematic Games
2004;2;4;90;12;10852;Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck, Tech Trees / Tech Tracks;Strategy Games
2019;1;5;60;10;13549;Action Points, Cooperative Game, Dice Rolling, Pick-up and Deliver, Point to Point Movement, Solo / Solitaire Game, Variable Player Powers, Variable Set-up;Thematic Games
2000;2;5;100;12;15720;Auction/Bidding, Grid Coverage, Tile Placement;Strategy Games
2009;2;5;90;13;19628;Area Majority / Influence, Area Movement, Auction/Bidding, Auction: Fixed Placement, Card Drafting, Dice Rolling, Set Collection, Variable Phase Order;Strategy Games
2016;5;10;45;13;24770;Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting;Party Games
2019;1;5;120;14;7733;Action Points, Cooperative Game, Dice Rolling, Variable Player Powers;Thematic Games
2016;2;8;20;8;39966;Card Drafting, Drafting, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection;Family Games
2009;3;5;90;10;10386;Auction/Bidding, Loans, Network and Route Building, Ownership, Pick-up and Deliver, Tile Placement;Strategy Games
2003;2;2;60;9;9380;Catch the Leader, Grid Movement, Pattern Building;Abstract Games
2013;2;6;90;13;8909;Hand Management, Turn Order: Progressive, Worker Placement;Strategy Games
2007;2;4;60;10;32651;Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement, Track Movement;Thematic Games
2014;4;12;20;14;23769;Deduction, Events, Hidden Roles, Storytelling, Team-Based Game, Traitor Game;Party Games
2016;2;4;60;14;6670;Area Majority / Influence, Deck Bag and Pool Building;Strategy Games
2016;1;4;90;10;20000;Card Drafting, Dice Rolling, Drafting, Role Playing, Set Collection, Variable Player Powers;Strategy Games
2006;3;5;120;12;12921;Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection, Variable Phase Order;Strategy Games
2015;2;5;50;8;26632;Auction/Bidding, Catch the Leader, Set Collection, Tile Placement, Turn Order: Progressive;Family Games, Strategy Games
1986;2;7;360;14;7037;Auction/Bidding, Investment, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement, Victory Points as a Resource;Strategy Games
2016;2;4;45;8;15704;Catch the Leader, Hand Management, Modular Board, Race, Simulation, Simultaneous Action Selection;Family Games
2017;2;5;45;8;11050;Action Retrieval, Card Drafting, Contracts, Deck Bag and Pool Building, Hand Management, Increase Value of Unchosen Resources, Set Collection;Family Games, Strategy Games
2016;2;4;30;12;21315;Card Drafting, Deck Bag and Pool Building, Hand Management, Take That;Customizable Games, Strategy Games
2005;2;5;60;12;14231;End Game Bonuses, Follow, Hand Management, Set Collection, Sudden Death Ending, Variable Phase Order;Strategy Games
2013;1;5;120;14;15424;Action Retrieval, Card Drafting, Hand Management, Race, Resource to Move, Solo / Solitaire Game, Track Movement, Worker Placement;Strategy Games
2007;2;2;120;12;10199;Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management;Strategy Games
2014;2;6;120;12;6449;Auction: Turn Order Until Pass, Income, Market, Network and Route Building;Strategy Games
2013;2;2;15;10;18073;Area Majority / Influence, Card Drafting, Force Commitment, Hand Management, I Cut You Choose;Family Games
2013;2;4;120;12;11914;Dice Rolling, Set Collection, Worker Placement, Worker Placement with Dice Workers;Strategy Games
2006;2;6;180;13;7124;Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding;Strategy Games
2011;2;4;90;13;16675;Auction/Bidding, Hand Management, Simultaneous Action Selection, Worker Placement;Strategy Games, Thematic Games
1998;2;4;60;10;15197;Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement;Strategy Games
2018;2;5;60;14;13129;Card Drafting, Dice Rolling, Random Production;Family Games
2012;2;4;60;14;24484;Card Drafting, Dice Rolling, Drafting, Hand Management, Take That, Victory Points as a Resource;Strategy Games
2014;1;4;90;10;28363;Card Drafting, Contracts, Drafting, Hand Management, Take That, Variable Player Powers;Strategy Games
2017;2;4;90;14;8295;Dice Rolling, Drafting, Point to Point Movement, Variable Player Powers, Worker Placement with Dice Workers;Strategy Games
2011;3;12;30;8;23123;Storytelling, Targeted Clues, Voting;Party Games
2019;2;4;120;12;4475;Contracts, Dice Rolling, Point to Point Movement, Resource to Move, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers;Strategy Games
2007;2;5;120;10;8235;Area Majority / Influence, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2016;2;4;15;8;53458;Card Drafting, Tile Placement;Family Games
2018;1;4;90;14;9373;Area Majority / Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management, Solo / Solitaire Game, Variable Player Powers, Worker Placement;Strategy Games
2008;1;5;30;12;20742;Action Queue, Area Movement, Cooperative Game, Elapsed Real Time Ending, Hand Management, Real-Time, Simultaneous Action Selection, Solo / Solitaire Game;Thematic Games
1992;3;5;45;10;20163;Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation, Hand Management, Victory Points as a Resource;Strategy Games
2015;2;5;180;14;21229;Hidden Movement, Point to Point Movement, Resource to Move, Secret Unit Deployment, Team-Based Game, Variable Player Powers;Thematic Games
2019;2;4;120;12;6591;Commodity Speculation, Dice Rolling, Grid Movement, Market, Rondel, Set Collection, Tile Placement, Time Track;Strategy Games
2016;2;5;120;14;17767;Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Push Your Luck, Storytelling, Traitor Game, Variable Player Powers, Voting;Thematic Games
2000;2;2;30;12;19273;Card Play Conflict Resolution, Hand Management, Melding and Splaying, Set Collection;Strategy Games
2011;2;4;60;9;12969;Deck Construction, Dice Rolling, Grid Movement, Hand Management, Stat Check Resolution, Variable Player Powers;Customizable Games, Strategy Games
2013;2;5;120;12;8254;Action Retrieval, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Set Collection;Strategy Games
2016;1;6;120;12;12774;Cooperative Game;Family Games, Thematic Games
2016;2;4;30;14;6945;Card Drafting, Deck Bag and Pool Building, Hand Management;Strategy Games
2010;2;5;90;12;7663;Advantage Token, Area Movement, Rondel;Strategy Games
2010;2;4;240;14;10095;Area Majority / Influence, Auction/Bidding, Grid Movement, Modular Board, Simultaneous Action Selection, Variable Player Powers;Strategy Games, Thematic Games
2016;1;5;120;13;6694;Dice Rolling, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2019;1;5;120;12;16369;Card Drafting, Chaining, Dice Rolling, Grid Coverage, Hand Management, Hexagon Grid, Income, Map Addition, Solo / Solitaire Game, Square Grid, Tech Trees / Tech Tracks, Tile Placement, Track Movement, Variable Player Powers;Strategy Games
2010;2;4;90;13;14615;Area Majority / Influence, Card Drafting, Dice Rolling, Worker Placement with Dice Workers;Strategy Games
2005;2;5;240;14;4755;Area Majority / Influence, Auction/Bidding, Pick-up and Deliver, Stock Holding;Strategy Games
2009;2;6;180;12;6351;Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding;Strategy Games
2019;2;2;60;14;9475;Card Drafting, Deck Bag and Pool Building, Dice Rolling, Modular Board, Simulation;Thematic Games, Wargames
2015;1;4;90;12;13865;Action Points, Cooperative Game, Dice Rolling, Grid Movement, Map Addition, Modular Board, Multiple Maps, Solo / Solitaire Game, Square Grid, Three Dimensional Movement, Variable Player Powers;Family Games, Thematic Games
1996;2;2;200;12;7224;Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Events, Point to Point Movement, Simulation;Wargames
2018;2;6;120;12;4515;Action Retrieval, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Point to Point Movement, Team-Based Game;Strategy Games
2013;2;2;90;14;9235;Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers;Wargames
2018;2;5;150;14;7425;Area Majority / Influence, Dice Rolling, Hexagon Grid, Map Addition, Modular Board, Variable Phase Order;Strategy Games
2004;2;4;180;14;5508;Grid Coverage, Modular Board, Tile Placement, Trading;Strategy Games
2020;1;4;120;12;5281;Chaining, Deck Bag and Pool Building, Drafting, Move Through Deck, Once-Per-Game Abilities, Resource to Move, Tile Placement, Turn Order: Progressive, Worker Placement;Strategy Games
2018;2;6;90;14;11185;Action Points, Area Movement, Betting and Bluffing, Dice Rolling, End Game Bonuses, Hand Management, Pick-up and Deliver, Take That, Variable Player Powers;Thematic Games
2015;2;4;120;14;5729;Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Variable Player Powers;Strategy Games, Thematic Games
2000;2;2;20;9;38724;Enclosure, Grid Movement, Hexagon Grid, Pieces as Map, Slide/Push, Three Dimensional Movement, Tile Placement;Abstract Games
2014;2;2;20;8;22904;Grid Movement, Hand Management, Pattern Movement, Static Capture;Abstract Games
2017;2;6;60;14;12131;Area Majority / Influence, Card Drafting, Hand Management, Set Collection;Strategy Games
2012;2;2;90;13;12922;Deck Construction, Dice Rolling, Grid Movement, Line of Sight, Simultaneous Action Selection, Turn Order: Progressive, Variable Player Powers;Customizable Games
2017;2;5;45;8;24002;Action Retrieval, Card Drafting, Contracts, Deck Bag and Pool Building, Hand Management, Increase Value of Unchosen Resources, Set Collection;Family Games, Strategy Games
2019;1;4;90;14;5942;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Hand Management, Legacy Game, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers;Strategy Games, Thematic Games
2015;2;4;90;13;19729;Action Points, Dice Rolling, Narrative Choice / Paragraph, Set Collection, Storytelling, Trading;Thematic Games
2017;1;4;120;13;8838;Action Points, Area Majority / Influence, Area Movement, Cooperative Game, Dice Rolling, Push Your Luck, Simulation, Solo / Solitaire Game, Time Track;Thematic Games
2009;2;5;80;8;82113;Area Majority / Influence, Area Movement, Dice Rolling, Increase Value of Unchosen Resources, Variable Player Powers, Victory Points as a Resource;Family Games, Strategy Games
2015;2;4;30;8;22499;Hand Management, Pattern Building, Rock-Paper-Scissors, Set Collection, Tile Placement;Family Games
2015;2;7;42;10;48903;Communication Limits, Cooperative Game, Deduction, Finale Ending, Hand Management, Pattern Recognition;Family Games, Thematic Games
2009;2;4;90;12;14398;Action Queue, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement;Strategy Games
2018;2;4;30;14;6228;Area Majority / Influence, Deck Bag and Pool Building, Grid Movement, Hand Management, Team-Based Game, Variable Player Powers;Abstract Games
2019;2;4;60;12;11068;Deck Bag and Pool Building, Dice Rolling, Drafting, Worker Placement, Worker Placement with Dice Workers;Strategy Games
2014;2;2;10;8;7992;Real-Time;Family Games, Party Games
2009;4;8;30;12;18222;Paper-and-Pencil;Party Games
2013;2;4;60;10;11033;Dice Rolling, Hand Management;Strategy Games
2010;2;4;240;13;19353;Card Drafting, Deck Bag and Pool Building, Grid Movement, Hand Management, Modular Board, Rock-Paper-Scissors, Trading, Variable Player Powers;Strategy Games
2019;1;4;180;14;10696;Dice Rolling, Modular Board, Pick-up and Deliver, Trading, Variable Player Powers;Thematic Games
2011;2;6;60;14;19087;Hidden Movement, Memory, Point to Point Movement, Secret Unit Deployment, Team-Based Game;Strategy Games, Thematic Games
1999;2;4;90;10;23043;Action Points, Area Majority / Influence, Auction/Bidding, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Set Collection, Tile Placement;Strategy Games
2017;2;4;90;12;8873;Grid Coverage, Highest-Lowest Scoring, Once-Per-Game Abilities, Rondel, Tile Placement, Track Movement, Turn Order: Claim Action, Turn Order: Pass Order;Strategy Games
2015;1;5;45;14;27784;Area Majority / Influence, Card Drafting, Dice Rolling, End Game Bonuses, Follow, Race, Re-rolling and Locking, Solo / Solitaire Game, Track Movement, Variable Phase Order, Variable Player Powers;Strategy Games
2010;2;4;180;13;17407;Action Points, Area Movement, Bias, Dice Rolling, Pick-up and Deliver, Race, Variable Player Powers, Variable Set-up;Thematic Games
2018;3;5;50;10;10285;Deduction, Hexagon Grid, Modular Board, Pattern Recognition;Family Games, Strategy Games
2009;5;10;30;13;55363;Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game, Voting;Party Games
2013;1;4;80;13;10946;Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order;Strategy Games
2015;2;6;90;14;11725;Action Retrieval, Area Majority / Influence, Area Movement, Hand Management, Simultaneous Action Selection, Take That, Turn Order: Role Order;Strategy Games
2008;1;4;60;12;25430;Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Move Through Deck, Solo / Solitaire Game, Variable Player Powers;Strategy Games, Thematic Games
1964;2;6;90;12;23111;Hand Management, Investment, Market, Ownership, Square Grid, Stock Holding, Tile Placement, Victory Points as a Resource;Strategy Games
2015;2;2;120;14;9300;Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Simulation, Variable Player Powers;Thematic Games, Wargames
2008;3;6;30;8;69850;Race, Simultaneous Action Selection, Storytelling, Targeted Clues, Voting;Party Games
2020;1;4;90;12;7744;Deck Bag and Pool Building, Hand Management, Modular Board, Rondel, Set Collection, Solo / Solitaire Game, Variable Player Powers, Worker Placement;Strategy Games
2012;2;2;30;13;17885;Automatic Resource Growth, Enclosure, Increase Value of Unchosen Resources, Tile Placement, Worker Placement;Strategy Games
2011;2;4;45;8;53368;Action Points, Dice Rolling, End Game Bonuses, Grid Movement, Hexagon Grid, Modular Board, Network and Route Building, Pattern Building, Set Collection, Tile Placement;Family Games
2006;2;6;360;12;5101;Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers;Wargames
2006;1;4;30;13;13812;Area Majority / Influence, Connections, Grid Movement, Hand Management, Hexagon Grid, Line of Sight, Player Elimination, Solo / Solitaire Game, Team-Based Game, Tile Placement, Variable Player Powers;Strategy Games
2012;2;4;20;10;92896;Hand Management, Player Elimination, Score-and-Reset Game;Family Games
2019;2;6;120;14;9178;Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Bribery, Force Commitment, Map Deformation, Predictive Bid, Take That, Variable Player Powers;Strategy Games, Thematic Games
2016;2;6;60;12;10856;Action Points, Events, Hand Management, Push Your Luck, Secret Unit Deployment, Simulation, Take That, Turn Order: Progressive;Strategy Games, Thematic Games
1982;2;4;60;8;29331;Action Points, Dice Rolling, Grid Movement, Hexagon Grid, Map Reduction, Memory, Modular Board, Secret Unit Deployment, Take That;Family Games
2017;2;5;120;12;9511;Action Points, Contracts, Deck Bag and Pool Building, Variable Player Powers;Strategy Games
1986;3;5;240;14;7213;Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection;Strategy Games
2016;2;4;60;11;24045;Cooperative Game, Deck Bag and Pool Building, Variable Player Powers;Strategy Games, Thematic Games
2017;2;4;45;8;16525;Card Drafting, Grid Coverage, Set Collection, Tile Placement;Family Games
2007;2;5;75;10;12196;Area Majority / Influence, Card Drafting, Point to Point Movement;Strategy Games
2004;2;4;60;10;24129;Action Drafting, Follow, Hand Management, Set Collection, Variable Phase Order;Strategy Games
2016;1;4;90;14;7757;Card Drafting, Hand Management, Variable Phase Order, Variable Player Powers, Worker Placement;Strategy Games
2009;1;4;120;10;12778;Card Drafting, Contracts, Income, Loans, Market, Set Collection, Solo / Solitaire Game;Strategy Games
2009;3;5;90;12;7233;Area Majority / Influence, Card Drafting, Hand Management, Set Collection;Strategy Games
2007;2;5;100;12;9788;Action Drafting, Events, Hand Management, Variable Phase Order;Strategy Games
2006;2;4;120;12;19942;Events, Turn Order: Random, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2016;1;8;120;10;12027;Cooperative Game, Solo / Solitaire Game, Storytelling;Thematic Games
1997;3;6;30;10;28540;Auction/Bidding, Auction: Sealed Bid, Auction: Turn Order Until Pass, Hand Management, Selection Order Bid;Family Games
2013;2;5;125;13;5615;Area Majority / Influence, Auction/Bidding, Card Drafting, Modular Board, Worker Placement;Strategy Games
2004;2;4;60;10;11985;Card Drafting, Set Collection;Strategy Games
2009;2;2;45;14;9172;Dice Rolling, Grid Movement, Line of Sight, Modular Board, Variable Player Powers;Thematic Games
2011;2;4;120;14;13609;Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Dice Rolling, Hand Management;Thematic Games
2012;2;4;240;14;6107;Action Points, Area Majority / Influence, Dice Rolling, Grid Movement, Hand Management, Modular Board, Tech Trees / Tech Tracks, Trading;Strategy Games
2018;2;4;45;8;13520;Drafting, End Game Bonuses, Modular Board, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action;Family Games
2017;2;4;60;12;10923;Area Majority / Influence, Card Drafting, Drafting, End Game Bonuses;Family Games
2017;1;6;75;14;22122;Card Drafting, Catch the Leader, Hand Management, Legacy Game, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Worker Placement;Strategy Games
2006;2;5;60;8;10963;Card Drafting, Hand Management, Network and Route Building, Point to Point Movement, Set Collection;Family Games, Strategy Games
1979;2;6;180;12;6333;Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Map Deformation, Team-Based Game, Variable Player Powers;Strategy Games, Thematic Games
2011;2;6;30;8;82759;Card Drafting, Dice Rolling, King of the Hill, Player Elimination, Push Your Luck, Re-rolling and Locking;Family Games
1980;2;7;360;12;10060;Area Majority / Influence, Area Movement, Hand Management, Set Collection, Tech Trees / Tech Tracks, Trading, Turn Order: Stat-Based;Strategy Games
2018;1;6;180;14;9371;Cooperative Game, Dice Rolling, Modular Board, Stat Check Resolution, Variable Player Powers;Thematic Games
2009;2;2;60;12;9553;Action Points, Dice Rolling, Grid Movement, Modular Board;Thematic Games
2018;1;5;90;12;9008;Hand Management, Set Collection, Worker Placement;Strategy Games
2017;2;4;90;14;5234;Area Movement, Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Hand Management, Player Elimination, Simulation, Variable Player Powers;Strategy Games
2015;2;4;120;12;4487;Area Majority / Influence, Variable Phase Order;Strategy Games
2019;1;6;60;14;16047;Bingo, End Game Bonuses, Follow, Grid Coverage, Pattern Building, Solo / Solitaire Game, Turn Order: Progressive, Variable Phase Order, Variable Player Powers, Variable Set-up;Family Games
2014;2;4;60;10;9109;Follow, Hand Management, Set Collection, Variable Phase Order;Strategy Games
2018;2;4;50;14;10236;Card Drafting, Contracts;Family Games
2016;2;8;15;10;29502;Communication Limits, Memory, Push Your Luck, Team-Based Game;Party Games
1985;2;2;480;14;5739;Critical Hits and Failures, Dice Rolling, Grid Movement, Hexagon Grid, Interrupts, Line of Sight, Modular Board, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Variable Player Powers;Wargames
1999;2;2;30;10;51748;Hand Management, Push Your Luck, Score-and-Reset Game, Set Collection;Family Games
2020;1;4;45;13;5978;Hexagon Grid, Pattern Building, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Tile Placement;Abstract Games, Family Games
2012;1;4;90;7;32616;Area Movement, Cooperative Game, Dice Rolling, Role Playing, Storytelling, Variable Player Powers;Thematic Games
2017;1;5;90;12;7907;Action Points, Area Movement, Cooperative Game, Dice Rolling, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers;Thematic Games
2018;1;2;180;12;4978;Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Minimap Resolution, Role Playing, Solo / Solitaire Game, Variable Player Powers;Strategy Games, Thematic Games
2020;2;4;60;14;5197;Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Variable Player Powers;Strategy Games, Thematic Games
2012;2;5;120;13;11631;Drafting, Race, Take That, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2009;2;4;100;12;6564;Action Points, Card Drafting, Dice Rolling, Hand Management, Network and Route Building, Pick-up and Deliver, Set Collection;Strategy Games
2010;2;4;60;10;14361;Action Queue, Grid Movement, Set Collection, Simultaneous Action Selection;Family Games, Strategy Games
2004;2;2;120;12;3095;Dice Rolling, Grid Movement, Variable Player Powers;Thematic Games
2005;1;8;240;14;48505;Cooperative Game, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers;Thematic Games
2010;2;4;60;12;18817;Advantage Token, Hand Management, Layering, Melding and Splaying, Tech Trees / Tech Tracks, Variable Phase Order;Strategy Games
2017;2;5;90;14;8895;Area Majority / Influence, Auction/Bidding, Card Drafting, Hand Management, Memory, Take That, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types;Strategy Games, Thematic Games
2017;2;4;45;10;22404;Card Drafting, Deck Bag and Pool Building, Dice Rolling, Random Production;Family Games
2009;2;3;210;14;3916;Auction/Bidding, Hand Management, Point to Point Movement, Secret Unit Deployment, Simulation, Variable Set-up;Wargames
2017;2;4;90;14;6990;Action Queue, Card Drafting, Hand Management, Loans;Strategy Games
2017;1;4;90;12;7106;Card Drafting, Dice Rolling, Network and Route Building, Set Collection, Tile Placement, Variable Player Powers;Strategy Games
2011;2;2;120;14;8921;Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Point to Point Movement;Strategy Games, Wargames
2015;2;5;45;13;6640;Auction/Bidding, Auction: Fixed Placement, Card Drafting, Commodity Speculation, Constrained Bidding, Investment, Market, Stock Holding, Victory Points as a Resource;Family Games, Strategy Games
2014;2;4;60;14;12929;Auction/Bidding, Card Drafting, Hand Management, Memory, Push Your Luck, Set Collection;Strategy Games
2015;4;16;60;17;6612;Acting, Card Drafting, Role Playing, Singing;Party Games
2013;1;4;240;13;19170;Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver, Solo / Solitaire Game, Take That, Trading, Variable Player Powers;Thematic Games
2011;2;6;45;10;32892;Action Points, Cooperative Game, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Solo / Solitaire Game, Square Grid, Variable Player Powers;Family Games, Thematic Games
2018;2;4;90;14;6810;Deck Bag and Pool Building;Strategy Games
2011;2;5;60;10;7593;Area Majority / Influence, Auction/Bidding, Voting, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2010;2;5;70;10;8092;Commodity Speculation, Dice Rolling, Rondel, Set Collection, Tile Placement, Time Track, Track Movement;Strategy Games
2018;1;4;90;14;5982;Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Hand Management, Income, Point to Point Movement, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Progressive, Variable Set-up;Strategy Games
2016;2;4;60;8;15563;Hand Management, Pattern Building, Set Collection, Tile Placement;Family Games
2011;3;5;60;13;13217;Area Movement, Card Drafting, Dice Rolling, Legacy Game, Player Elimination, Variable Player Powers;Strategy Games
2004;2;4;90;8;12318;Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Modular Board, Three Dimensional Movement;Customizable Games, Thematic Games
2018;1;5;60;8;7133;Action Points, Cooperative Game, Dice Rolling, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game, Variable Player Powers;Strategy Games
2016;2;5;120;12;6213;Card Drafting, Commodity Speculation, Hand Management, Set Collection, Simulation, Trading;Thematic Games
2007;2;5;90;13;17099;Dice Rolling, Worker Placement with Dice Workers;Family Games, Strategy Games
2012;2;5;150;14;3572;Auction/Bidding, Card Drafting, Mancala, Modular Board, Network and Route Building, Tile Placement, Variable Player Powers;Strategy Games
2018;2;4;75;10;6568;Card Drafting, Tile Placement;Strategy Games
2017;2;6;40;10;10509;Auction/Bidding, Betting and Bluffing, Hand Management, Moving Multiple Units, Race, Track Movement, Variable Player Powers;Family Games
2018;1;4;45;12;7605;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Player Elimination, Solo / Solitaire Game, Take That;Strategy Games
2014;2;5;30;8;14711;Cooperative Game, Dice Rolling, Hand Management, Point to Point Movement, Push Your Luck, Set Collection, Solo / Solitaire Game, Variable Player Powers;Family Games, Strategy Games
2006;2;2;60;10;10804;Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Variable Player Powers;Thematic Games, Wargames
2013;2;4;90;10;7241;Action Points, Cube Tower, Grid Movement, Modular Board, Tile Placement;Strategy Games
1999;3;5;60;12;10361;Enclosure, Income, Investment, Negotiation, Set Collection, Tile Placement, Trading, Victory Points as a Resource;Strategy Games
2017;1;5;100;12;6581;Worker Placement;Strategy Games
2012;3;4;180;17;9373;Auction/Bidding, Betting and Bluffing, Bribery, Dice Rolling, Grid Movement, Hand Management, Movement Points, Sudden Death Ending, Trading, Variable Player Powers;Thematic Games
2005;2;2;30;14;6958;Area Movement, Card Play Conflict Resolution, Hand Management, Secret Unit Deployment, Simultaneous Action Selection, Variable Player Powers;Strategy Games
2014;3;5;60;14;45096;Betting and Bluffing, Bribery, Card Drafting, Hand Management, Negotiation, Role Playing, Set Collection;Family Games, Party Games
2007;2;4;30;10;18939;Auction/Bidding, Auction: Turn Order Until Pass, Card Drafting, Commodity Speculation, Hand Management, Set Collection;Family Games, Strategy Games
2003;3;5;90;12;9578;Area Majority / Influence, Auction/Bidding, Auction: Fixed Placement, Constrained Bidding;Strategy Games
